"","fips","admin2","province_state","country_region","lat","long","confirmed","deaths","recovered","active","combined_key","date"
"1","NA","NA","Hubei","Mainland China",30.9756,112.2707,67760,3024,47743,0,"NA",2020-03-10
"2","NA","NA",NA,"Italy",43,12,10149,631,724,0,"NA",2020-03-10
"3","NA","NA",NA,"Iran (Islamic Republic of)",32,53,8042,291,2731,0,"NA",2020-03-10
"4","NA","NA",NA,"Republic of Korea",36,128,7513,54,247,0,"NA",2020-03-10
"5","NA","NA",NA,"France",47,2,1784,33,12,0,"NA",2020-03-10
"6","NA","NA",NA,"Spain",40,-4,1695,35,32,0,"NA",2020-03-10
"7","NA","NA",NA,"Germany",51,9,1457,2,18,0,"NA",2020-03-10
"8","NA","NA","Guangdong","Mainland China",23.3417,113.4244,1353,8,1274,0,"NA",2020-03-10
"9","NA","NA","Henan","Mainland China",33.882,113.614,1272,22,1247,0,"NA",2020-03-10
"10","NA","NA","Zhejiang","Mainland China",29.1832,120.0934,1215,1,1191,0,"NA",2020-03-10
"11","NA","NA","Hunan","Mainland China",27.6104,111.7088,1018,4,990,0,"NA",2020-03-10
"12","NA","NA","Anhui","Mainland China",31.8257,117.2264,990,6,984,0,"NA",2020-03-10
"13","NA","NA","Jiangxi","Mainland China",27.614,115.7221,935,1,927,0,"NA",2020-03-10
"14","NA","NA","Shandong","Mainland China",36.3427,118.1498,758,6,719,0,"NA",2020-03-10
"15","NA","NA","Diamond Princess cruise ship","Others",35.4437,139.638,696,6,40,0,"NA",2020-03-10
"16","NA","NA","Jiangsu","Mainland China",32.9711,119.455,631,0,627,0,"NA",2020-03-10
"17","NA","NA",NA,"Japan",36,138,581,10,101,0,"NA",2020-03-10
"18","NA","NA","Chongqing","Mainland China",30.0572,107.874,576,6,547,0,"NA",2020-03-10
"19","NA","NA","Sichuan","Mainland China",30.6171,102.7103,539,3,478,0,"NA",2020-03-10
"20","NA","NA",NA,"Switzerland",46.8182,8.2275,491,3,3,0,"NA",2020-03-10
"21","NA","NA","Heilongjiang","Mainland China",47.862,127.7615,481,13,434,0,"NA",2020-03-10
"22","NA","NA","Beijing","Mainland China",40.1824,116.4142,429,8,320,0,"NA",2020-03-10
"23","NA","NA",NA,"Norway",60.472,8.4689,400,0,1,0,"NA",2020-03-10
"24","NA","NA",NA,"Netherlands",52.1326,5.2913,382,4,0,0,"NA",2020-03-10
"25","NA","NA",NA,"UK",55,-3,382,6,18,0,"NA",2020-03-10
"26","NA","NA",NA,"Sweden",63,16,355,0,1,0,"NA",2020-03-10
"27","NA","NA","Shanghai","Mainland China",31.202,121.4491,344,3,319,0,"NA",2020-03-10
"28","NA","NA","Hebei","Mainland China",38.0428,114.5149,318,6,307,0,"NA",2020-03-10
"29","NA","NA","Fujian","Mainland China",26.0789,117.9874,296,1,295,0,"NA",2020-03-10
"30","NA","NA",NA,"Belgium",50.8333,4,267,0,1,0,"NA",2020-03-10
"31","NA","NA","Washington","US",47.4009,-121.4905,267,23,1,0,"NA",2020-03-10
"32","NA","NA",NA,"Denmark",56.2639,9.5018,262,0,1,0,"NA",2020-03-10
"33","NA","NA","Guangxi","Mainland China",23.8298,108.7881,252,2,234,0,"NA",2020-03-10
"34","NA","NA","Shaanxi","Mainland China",35.1917,108.8701,245,1,227,0,"NA",2020-03-10
"35","NA","NA",NA,"Austria",47.5162,14.5501,182,0,4,0,"NA",2020-03-10
"36","NA","NA","Yunnan","Mainland China",24.974,101.487,174,2,170,0,"NA",2020-03-10
"37","NA","NA","New York","US",42.1657,-74.9481,173,0,0,0,"NA",2020-03-10
"38","NA","NA","Hainan","Mainland China",19.1959,109.7453,168,6,159,0,"NA",2020-03-10
"39","NA","NA",NA,"Singapore",1.2833,103.8333,160,0,78,0,"NA",2020-03-10
"40","NA","NA","Guizhou","Mainland China",26.8154,106.8748,146,2,129,0,"NA",2020-03-10
"41","NA","NA","California","US",36.1162,-119.6816,144,2,2,0,"NA",2020-03-10
"42","NA","NA","Tianjin","Mainland China",39.3054,117.323,136,3,131,0,"NA",2020-03-10
"43","NA","NA","Shanxi","Mainland China",37.5777,112.2922,133,0,131,0,"NA",2020-03-10
"44","NA","NA",NA,"Malaysia",2.5,112.5,129,0,24,0,"NA",2020-03-10
"45","NA","NA","Gansu","Mainland China",36.0611,103.8343,125,2,88,0,"NA",2020-03-10
"46","NA","NA","Liaoning","Mainland China",41.2956,122.6085,125,1,111,0,"NA",2020-03-10
"47","NA","NA","Hong Kong","Hong Kong SAR",22.3,114.2,120,3,65,0,"NA",2020-03-10
"48","NA","NA",NA,"Bahrain",26.0275,50.55,110,0,22,0,"NA",2020-03-10
"49","NA","NA","Jilin","Mainland China",43.6661,126.1923,93,1,91,0,"NA",2020-03-10
"50","NA","NA","Massachusetts","US",42.2302,-71.5301,92,0,1,0,"NA",2020-03-10
