"","date","State","lat","long","death_rate","c_PercentChange","d_PercentChange","measure","value"
"1",2020-03-10,"Washington",47.4009,-121.4905,0.086,NA,NA,"Confirmed Cases",267
"2",2020-03-10,"New York",42.1657,-74.9481,0,NA,NA,"Confirmed Cases",173
"3",2020-03-10,"California",36.1162,-119.6816,0.014,NA,NA,"Confirmed Cases",144
"4",2020-03-10,"Massachusetts",42.2302,-71.5301,0,NA,NA,"Confirmed Cases",92
"5",2020-03-10,"Washington",47.4009,-121.4905,0.086,NA,NA,"Deaths",23
"6",2020-03-10,"Georgia",33.0406,-83.6431,0,NA,NA,"Confirmed Cases",17
"7",2020-03-10,"Colorado",39.0598,-105.3111,0,NA,NA,"Confirmed Cases",15
"8",2020-03-10,"Florida",27.7663,-81.6868,0.133,NA,NA,"Confirmed Cases",15
"9",2020-03-10,"New Jersey",40.2989,-74.521,0.067,NA,NA,"Confirmed Cases",15
"10",2020-03-10,"Oregon",44.572,-122.0709,0,NA,NA,"Confirmed Cases",15
"11",2020-03-10,"Texas",31.0545,-97.5635,0,NA,NA,"Confirmed Cases",13
"12",2020-03-10,"Illinois",40.3495,-88.9861,0,NA,NA,"Confirmed Cases",12
"13",2020-03-10,"Pennsylvania",40.5908,-77.2098,0,NA,NA,"Confirmed Cases",12
"14",2020-03-10,"Iowa",42.0115,-93.2105,0,NA,NA,"Confirmed Cases",8
"15",2020-03-10,"Maryland",39.0639,-76.8021,0,NA,NA,"Confirmed Cases",8
"16",2020-03-10,"North Carolina",35.6301,-79.8064,0,NA,NA,"Confirmed Cases",7
"17",2020-03-10,"South Carolina",33.8569,-80.945,0,NA,NA,"Confirmed Cases",7
"18",2020-03-10,"Tennessee",35.7478,-86.6923,0,NA,NA,"Confirmed Cases",7
"19",2020-03-10,"Virginia",37.7693,-78.17,0,NA,NA,"Confirmed Cases",7
"20",2020-03-10,"Arizona",33.7298,-111.4312,0,NA,NA,"Confirmed Cases",6
"21",2020-03-10,"Indiana",39.8494,-86.2583,0,NA,NA,"Confirmed Cases",6
"22",2020-03-10,"Kentucky",37.6681,-84.6701,0,NA,NA,"Confirmed Cases",6
"23",2020-03-10,"District of Columbia",38.8974,-77.0268,0,NA,NA,"Confirmed Cases",5
"24",2020-03-10,"Nevada",38.3135,-117.0554,0,NA,NA,"Confirmed Cases",4
"25",2020-03-10,"New Hampshire",43.4525,-71.5639,0,NA,NA,"Confirmed Cases",4
"26",2020-03-10,"Minnesota",45.6945,-93.9002,0,NA,NA,"Confirmed Cases",3
"27",2020-03-10,"Nebraska",41.1254,-98.2681,0,NA,NA,"Confirmed Cases",3
"28",2020-03-10,"Ohio",40.3888,-82.7649,0,NA,NA,"Confirmed Cases",3
"29",2020-03-10,"Rhode Island",41.6809,-71.5118,0,NA,NA,"Confirmed Cases",3
"30",2020-03-10,"Wisconsin",44.2685,-89.6165,0,NA,NA,"Confirmed Cases",3
"31",2020-03-10,"Connecticut",41.5978,-72.7554,0,NA,NA,"Confirmed Cases",2
"32",2020-03-10,"Hawaii",21.0943,-157.4983,0,NA,NA,"Confirmed Cases",2
"33",2020-03-10,"Oklahoma",35.5653,-96.9289,0,NA,NA,"Confirmed Cases",2
"34",2020-03-10,"Utah",40.15,-111.8624,0,NA,NA,"Confirmed Cases",2
"35",2020-03-10,"California",36.1162,-119.6816,0.014,NA,NA,"Recovered",2
"36",2020-03-10,"Illinois",40.3495,-88.9861,0,NA,NA,"Recovered",2
"37",2020-03-10,"California",36.1162,-119.6816,0.014,NA,NA,"Deaths",2
"38",2020-03-10,"Florida",27.7663,-81.6868,0.133,NA,NA,"Deaths",2
"39",2020-03-10,"Kansas",38.5266,-96.7265,0,NA,NA,"Confirmed Cases",1
"40",2020-03-10,"Louisiana",31.1695,-91.8678,0,NA,NA,"Confirmed Cases",1
"41",2020-03-10,"Missouri",38.4561,-92.2884,0,NA,NA,"Confirmed Cases",1
"42",2020-03-10,"Vermont",44.0459,-72.7107,0,NA,NA,"Confirmed Cases",1
"43",2020-03-10,"Arizona",33.7298,-111.4312,0,NA,NA,"Recovered",1
"44",2020-03-10,"Massachusetts",42.2302,-71.5301,0,NA,NA,"Recovered",1
"45",2020-03-10,"Washington",47.4009,-121.4905,0.086,NA,NA,"Recovered",1
"46",2020-03-10,"Wisconsin",44.2685,-89.6165,0,NA,NA,"Recovered",1
"47",2020-03-10,"New Jersey",40.2989,-74.521,0.067,NA,NA,"Deaths",1
"48",2020-03-10,"Alaska",61.3707,-152.4044,NA,NA,NA,"Confirmed Cases",0
"49",2020-03-10,"Arkansas",34.9697,-92.3731,NA,NA,NA,"Confirmed Cases",0
"50",2020-03-10,"Delaware",39.3185,-75.5071,NA,NA,NA,"Confirmed Cases",0
"51",2020-03-10,"Idaho",44.2405,-114.4788,NA,NA,NA,"Confirmed Cases",0
"52",2020-03-10,"Maine",44.6939,-69.3819,NA,NA,NA,"Confirmed Cases",0
